Gm#,Date,boxscore,Tm,Home/Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Wednesday May 14 (2),boxscore,PHI,,STL,L,7,14,,25-18,2,2.5,Roycroft,Nola,,3:17,N,35150,1.26,-,
44,Friday May 16,boxscore,PHI,,PIT,W,8,4,,26-18,2,1.5,Suarez,Borucki,Alvarado,2:52,N,44039,1.18,+,
45,Saturday May 17,boxscore,PHI,,PIT,W,5,2,,27-18,2,1.5,Wheeler,Mlodzinski,,2:43,N,44164,1.21,++,
46,Sunday May 18,boxscore,PHI,,PIT,W,1,0,,28-18,2,0.5,Abel,Skenes,Romano,1:59,D,44356,1.18,+++,
47,Monday May 19,boxscore,PHI,@,COL,W,9,3,,29-18,1,up 0.5,Ross,Halvorsen,,2:46,N,23487,1.23,++++,
48,Tuesday May 20,boxscore,PHI,@,COL,W,7,4,,30-18,1,up 1.5,Luzardo,Senzatela,,2:41,N,24431,1.20,+++++,
49,Wednesday May 21,boxscore,PHI,@,COL,W,9,5,,31-18,1,up 1.5,Walker,Palmquist,,2:36,N,23421,1.27,++++++,
50,Thursday May 22,boxscore,PHI,@,COL,W,2,0,,32-18,1,up 2.0,Suarez,Márquez,Romano,2:19,D,23308,1.21,+++++++,
51,Friday May 23,boxscore,PHI,@,ATH,W,4,3,,33-18,1,up 3.0,Wheeler,Lopez,Banks,2:40,N,10052,1.23,++++++++,
52,Saturday May 24,boxscore,PHI,@,ATH,W,9,6,11,34-18,1,up 3.0,Kerkering,Spence,Lazar,3:45,N,10090,1.19,+++++++++,
53,Sunday May 25,boxscore,PHI,@,ATH,L,4,5,,34-19,1,up 2.0,Ferguson,Strahm,Miller,2:19,D,10068,1.21,-,
54,Tuesday May 27,boxscore,PHI,,ATL,W,2,0,,35-19,1,up 1.5,Suarez,Strider,Romano,2:41,N,40627,1.30,+,
55,Thursday May 29 (1),boxscore,PHI,,ATL,W,5,4,,36-19,1,up 2.0,Ruiz,Hernández,Romano,3:00,D,32314,1.30,++,
56,Thursday May 29 (2),boxscore,PHI,,ATL,L,3,9,,36-20,1,up 2.0,Sale,Wheeler,,3:05,N,42739,1.26,-,
57,Friday May 30,boxscore,PHI,,MIL,L,2,6,,36-21,1,up 1.0,Priester,Walker,,2:29,N,41546,1.28,--,
58,Saturday May 31,boxscore,PHI,,MIL,L,7,17,,36-22,1,Tied,Patrick,Luzardo,,2:42,D,43773,1.31,---,
59,Sunday Jun 1,boxscore,PHI,,MIL,L,2,5,,36-23,2,1.0,Mears,Kerkering,Megill,2:36,D,44076,1.35,----,
60,Tuesday Jun 3,boxscore,PHI,@,TOR,W,8,3,,37-23,2,0.5,Sánchez,Francis,,2:46,N,32632,1.20,+,
61,Wednesday Jun 4,boxscore,PHI,@,TOR,L-wo,1,2,,37-24,2,1.5,Hoffman,Romano,,2:25,N,25716,1.26,-,
62,Thursday Jun 5,boxscore,PHI,@,TOR,L,1,9,,37-25,2,1.5,Bassitt,Luzardo,,2:23,D,33728,1.26,--,
63,Friday Jun 6,boxscore,PHI,@,PIT,L-wo,4,5,,37-26,2,2.5,Bednar,Romano,,2:45,N,23243,1.25,---,
64,Saturday Jun 7,boxscore,PHI,@,PIT,L,1,2,,37-27,2,3.5,Mattson,Suarez,Bednar,1:59,D,32951,1.25,----,
65,Sunday Jun 8,boxscore,PHI,@,PIT,L,1,2,,37-28,2,4.5,Ashcraft,Sánchez,,2:14,D,25261,1.22,-----,
66,Monday Jun 9,boxscore,PHI,,CHC,W-wo,4,3,11,38-28,2,4.0,Hernández,Palencia,,3:05,N,41226,1.29,+,
67,Tuesday Jun 10,boxscore,PHI,,CHC,L,4,8,,38-29,2,5.0,Thielbar,Walker,,3:01,N,41220,1.34,-,
