Date,W/L,R,RA,win,run_diff,home,walkoff,Opp,Inn,Attendance
2025-07-28,L,2,6,0,-4,0,0,CHW,,15106
2025-07-29,W,6,3,1,3,0,0,CHW,,20730
2025-07-30,L,3,9,0,-6,0,0,CHW,,12718
2025-08-01,W,5,4,1,1,1,0,DET,,43241
2025-08-02,L,5,7,0,-2,1,0,DET,,44669
2025-08-03,W,2,0,1,2,1,0,DET,,41569
2025-08-04,W,13,3,1,10,1,0,BAL,,41099
2025-08-05,W,5,0,1,5,1,0,BAL,,43660
2025-08-06,L,1,5,0,-4,1,0,BAL,,42030
2025-08-08,W,9,1,1,8,0,0,TEX,,27575
2025-08-09,W,3,2,1,1,0,0,TEX,,38471
2025-08-10,W,4,2,1,2,0,0,TEX,,32444
2025-08-11,W,4,1,1,3,0,0,CIN,,43800
2025-08-12,L,1,6,0,-5,0,0,CIN,,29654
2025-08-13,L,0,8,0,-8,0,0,CIN,,25869
2025-08-14,L,2,3,0,-1,0,0,WSN,,21609
2025-08-15,W,6,2,1,4,0,0,WSN,,35143
2025-08-16,L,0,2,0,-2,0,0,WSN,,36042
2025-08-17,W,11,9,1,2,0,0,WSN,,26243
2025-08-18,W,12,7,1,5,1,0,SEA,,44471
2025-08-19,W,6,4,1,2,1,0,SEA,,43757
2025-08-20,W,11,2,1,9,1,0,SEA,,38331
2025-08-22,L,4,5,0,-1,1,0,WSN,,44757
2025-08-23,W,6,4,1,2,1,0,WSN,,44771
2025-08-24,W,3,2,1,1,1,0,WSN,,42580
2025-08-25,L,3,13,0,-10,0,0,NYM,,41983
2025-08-26,L-wo,5,6,0,-1,0,1,NYM,,41914
2025-08-27,L,0,6,0,-6,0,0,NYM,,41893
2025-08-28,W,19,4,1,15,1,0,ATL,,41293
2025-08-29,W,2,1,1,1,1,0,ATL,,40322
2025-08-30,W-wo,3,2,1,1,1,1,ATL,10.0,43462
2025-08-31,L,1,3,0,-2,1,0,ATL,,43770
2025-09-01,W,10,8,1,2,0,0,MIL,,42153
2025-09-03,L,3,6,0,-3,0,0,MIL,,28528
2025-09-04,W,2,0,1,2,0,0,MIL,,26583
2025-09-05,W,9,3,1,6,0,0,MIA,,15118
2025-09-06,W,4,2,1,2,0,0,MIA,,23877
2025-09-07,L,4,5,0,-1,0,0,MIA,,30223
2025-09-08,W,1,0,1,1,1,0,NYM,,40388
2025-09-09,W,9,3,1,6,1,0,NYM,,41609
2025-09-10,W,11,3,1,8,1,0,NYM,,38090
2025-09-11,W,6,4,1,2,1,0,NYM,,40098
2025-09-12,W,8,2,1,6,1,0,KCR,,41099
